k00.00;k00.01;k00.02;k00.03;k00.04;k00.05;k00.06;k00.07;k00.08;k00.09;k00.0A;k00.0B;k00.0C;k00.0D;k00.0E;k00.0F;k00.10;k00.11;k01;k09[0];k09[1];k09[2];k09[3];k09[4];k09[5];k09[6];k09[7];k09[8];k09[9];k09[A];k09[B];k09[C];k09[D];k09[E];k09[F];k09[10];k09[11];k09[12];k09[13];k09[14];k09[15];k09[16];k09[17];k0D.00;k0D.01;k0D.02;k0D.03;k0D.04;k0D.05;k0D.06;k0D.07;k0D.08;k0D.09;k0D.0A;k0D.0B;k0D.0C;k0D.0D;k0D.0E;k0D.0F;k0D.10;k0D.11;k0D.12;k0D.13;k0D.14;k0D.15;k0D.16;k0D.17;k0D.18;k0D.19;k0D.1A;k0D.1B;k0F.00[0];k0F.00[1];k0F.00[2];k0F.00[3];k0F.00[4];k0F.00[5];k0F.00[6];k0F.00[7];
year;month;day;hour;minute;second;milisecond;Unix.Time;time stamp;X-Act-Speed;Y-Act-Speed;Z-Act-Speed;X-Tar-Speed;Y-Tar-Speed;Z-Tar-Speed;SP-Torque;SP-True-Power;X-Torque;X-Act-Pos;Y-Act-Pos;Z-Act-Pos;X-Tar-Pos;Y-Tar-Pos;Z-Tar-Pos;Y-Torque;ACC_X;ACC_Y;ACC_Z;True Power;X-Act_Enc-Pos;Y-Act_Enc-Pos;Z-Act_Enc-Pos;Z-Torque;PN;TN;AN;LocalID;
2018;10;18;14;47;43;597;1539866863;0;-2248;-6855;1067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1767836;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;10000;-4473;-11102;2615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1744606;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;20000;-1110;-8385;-1401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1707955;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;30000;1778;4505;868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1757200;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;40000;-2155;-6144;-292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1750544;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;50000;5200;3409;1306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1789629;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;60000;2131;6752;-2659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1756947;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;70000;-2499;-8203;-2690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1760305;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;80000;3046;2436;-816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1770335;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;90000;-3401;89;-1493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1771137;0;0;0;0;#nv;#nv;#nv;#nv;
